epoch,class_accuracy,class_loss,lr,reg_loss,reg_mae,total_loss,val_class_accuracy,val_class_loss,val_reg_loss,val_reg_mae,val_total_loss
0,0.9295995235443115,0.27632415294647217,1e-04,9.372859954833984,0.32217124104499817,16.898778915405273,0.996666669845581,0.25747933983802795,3.334855556488037,0.3222352862358093,6.028487682342529
1,0.9800792932510376,0.27474236488342285,9e-05,6.592863082885742,0.24572448432445526,11.894627571105957,0.9991666674613953,0.23263120651245117,3.1023316383361816,0.33606868982315063,5.607459545135498
2,0.9815394282341003,0.2857376039028168,8.1e-05,9.025056838989258,0.23245999217033386,16.2736759185791,0.9991666674613953,0.22025899589061737,2.9146759510040283,0.32874542474746704,5.268442630767822
3,0.9848769307136536,0.27033546566963196,7.29e-05,6.468159198760986,0.22644327580928802,11.669719696044922,0.9991666674613953,0.21920308470726013,2.7364068031311035,0.32170307636260986,4.947452545166016
4,0.9885272979736328,0.2343941479921341,6.561e-05,5.082588195800781,0.21567651629447937,9.172098159790039,0.9991666674613953,0.21910612285137177,2.484945774078369,0.29989978671073914,4.494812965393066
5,0.9891530871391296,0.23947028815746307,5.9049e-05,4.306167125701904,0.20616938173770905,7.775047779083252,0.9991666674613953,0.2171964943408966,2.2944536209106445,0.28289076685905457,4.151735782623291
6,0.9882144331932068,0.27977779507637024,5.31441e-05,5.348006248474121,0.19726383686065674,9.654389381408691,0.9991666674613953,0.21621841192245483,2.261232852935791,0.2755492329597473,4.091840744018555
7,0.9903003573417664,0.23057353496551514,4.782969e-05,6.0184006690979,0.19283345341682434,10.856178283691406,0.9991666674613953,0.21649426221847534,1.923690676689148,0.25582051277160645,3.484292507171631
8,0.9923863410949707,0.3000409007072449,4.3046723e-05,6.11292839050293,0.18766635656356812,11.033275604248047,0.9991666674613953,0.21043771505355835,1.9579248428344727,0.24455001950263977,3.5453083515167236
9,0.9945765733718872,0.25366485118865967,3.8742048e-05,5.522396087646484,0.18622854351997375,9.965679168701172,0.9991666674613953,0.21045200526714325,1.7941511869430542,0.23030924797058105,3.2505173683166504
10,0.9942636489868164,0.2445746660232544,3.4867844e-05,5.113069534301758,0.18300026655197144,9.227982521057129,0.9991666674613953,0.21122713387012482,1.7071664333343506,0.2219008058309555,3.094022274017334
11,0.9937421679496765,0.23736576735973358,3.138106e-05,6.758309841156006,0.18136915564537048,12.18869400024414,0.9991666674613953,0.20822292566299438,1.6486244201660156,0.21512764692306519,2.9883460998535156
12,0.9940550923347473,0.230024054646492,2.8242954e-05,5.188112735748291,0.17771945893764496,9.361605644226074,0.9991666674613953,0.21033796668052673,1.4525089263916016,0.1944558024406433,2.635549783706665
13,0.9946808218955994,0.24172909557819366,2.5418658e-05,5.153439521789551,0.17523296177387238,9.300363540649414,0.9991666674613953,0.20822566747665405,1.450769305229187,0.19622305035591125,2.632207155227661
14,0.995619535446167,0.23232559859752655,2.2876793e-05,6.462138652801514,0.17417217791080475,11.655081748962402,0.9991666674613953,0.20734718441963196,1.3925724029541016,0.1910182237625122,2.52736496925354
15,0.9954109191894531,0.2244422435760498,2.0589114e-05,6.660439491271973,0.17416934669017792,12.011234283447266,0.9991666674613953,0.2073115110397339,1.2949748039245605,0.17789429426193237,2.3516857624053955
16,0.9945765733718872,0.24197688698768616,1.8530201e-05,5.170141696929932,0.17305293679237366,9.330451965332031,0.9991666674613953,0.20679453015327454,1.3011980056762695,0.17929933965206146,2.3628358840942383
17,0.9961410164833069,0.24087372422218323,1.6677182e-05,3.4501595497131348,0.1743408590555191,6.234374523162842,0.9991666674613953,0.20658285915851593,1.3304072618484497,0.1784609854221344,2.415391206741333
18,0.995932400226593,0.2245471477508545,1.5009464e-05,2.5329666137695312,0.17225520312786102,4.581794738769531,0.9991666674613953,0.2069421112537384,1.261196494102478,0.176400288939476,2.2908477783203125
19,0.9964538812637329,0.28590697050094604,1.3508517e-05,2.2879834175109863,0.17122608423233032,4.146960735321045,0.9991666674613953,0.20647847652435303,1.223738670349121,0.17163263261318207,2.223377227783203
20,0.9957238435745239,0.2233007401227951,1.2157666e-05,4.909058094024658,0.17014499008655548,8.858634948730469,0.9991666674613953,0.20746809244155884,1.2315592765808105,0.16877934336662292,2.237553358078003
21,0.9954109191894531,0.248902827501297,1.0941899e-05,4.971713542938232,0.17243734002113342,8.973974227905273,0.9991666674613953,0.20647713541984558,1.2096210718154907,0.16939115524291992,2.197965621948242
22,0.9974968433380127,0.22753560543060303,9.847709e-06,4.826601505279541,0.16983377933502197,8.710636138916016,0.9991666674613953,0.20649251341819763,1.1672368049621582,0.16672033071517944,2.121675491333008
23,0.9964538812637329,0.27258947491645813,8.862939e-06,5.758568286895752,0.17033882439136505,10.392681121826172,0.9991666674613953,0.20649996399879456,1.1726489067077637,0.1677967756986618,2.131417989730835
24,0.9968711137771606,0.2167581021785736,7.976644e-06,2.9317593574523926,0.16849951446056366,5.298842430114746,0.9991666674613953,0.20552024245262146,1.1384985446929932,0.16478854417800903,2.0698492527008057
