epoch,class_accuracy,class_loss,lr,reg_loss,reg_mae,total_loss,val_class_accuracy,val_class_loss,val_reg_loss,val_reg_mae,val_total_loss
0,0.9513975977897644,0.23352234065532684,1e-04,6.840322494506836,0.2674972116947174,13.019965171813965,0.9991666674613953,0.262947142124176,2.3320045471191406,0.2591964304447174,4.457103252410889
1,0.9859198927879333,0.24790385365486145,9e-05,7.033895015716553,0.22483810782432556,13.389190673828125,0.9975000023841858,0.25323301553726196,1.5152010917663574,0.23568333685398102,2.904205322265625
2,0.9883187413215637,0.30049943923950195,8.1e-05,5.403751373291016,0.21309976279735565,10.2971773147583,0.9991666674613953,0.23994143307209015,1.709212064743042,0.22010375559329987,3.2714970111846924
3,0.9900918006896973,0.30153489112854004,7.29e-05,5.1407551765441895,0.20346693694591522,9.797588348388672,0.9991666674613953,0.22771869599819183,1.5151112079620361,0.1963215172290802,2.9014830589294434
4,0.9906132817268372,0.28066372871398926,6.561e-05,4.657103061676025,0.1994451880455017,8.876562118530273,0.9991666674613953,0.22315067052841187,1.6025688648223877,0.19775551557540894,3.0671958923339844
5,0.9941593408584595,0.23126649856567383,5.9049e-05,5.34290885925293,0.1923079639673233,10.174653053283691,0.9991666674613953,0.22105956077575684,1.1649706363677979,0.16449299454689026,2.2355501651763916
6,0.9932206869125366,0.22742334008216858,5.31441e-05,4.992016792297363,0.189193993806839,9.507574081420898,0.9991666674613953,0.22065255045890808,1.3109745979309082,0.16412608325481415,2.5129168033599854
7,0.9933249950408936,0.23810379207134247,4.782969e-05,4.696176528930664,0.18405698239803314,8.946545600891113,0.9991666674613953,0.2147754281759262,1.1813141107559204,0.1465091109275818,2.265974283218384
8,0.9946808218955994,0.23154883086681366,4.3046723e-05,3.132402181625366,0.18210087716579437,5.9747185707092285,0.9991666674613953,0.2117084264755249,1.1307315826416016,0.14773774147033691,2.1695609092712402
9,0.99603670835495,0.23468565940856934,3.8742048e-05,4.183926582336426,0.17919375002384186,7.972929000854492,0.9991666674613953,0.21106362342834473,1.3200342655181885,0.16567102074623108,2.5291714668273926
10,0.9957238435745239,0.21806327998638153,3.4867844e-05,3.184774875640869,0.17632141709327698,6.072878360748291,0.9991666674613953,0.21096926927566528,0.9965267181396484,0.143891379237175,1.91449773311615
11,0.9958280920982361,0.2193853110074997,3.138106e-05,3.0627543926239014,0.17474626004695892,5.841171741485596,0.9991666674613953,0.21141313016414642,1.1894009113311768,0.1598106026649475,2.281002998352051
12,0.9973925948143005,0.21429114043712616,2.8242954e-05,4.989984512329102,0.1749049872159958,9.502399444580078,0.9991666674613953,0.2123403549194336,1.1363019943237305,0.1577669382095337,2.1802077293395996
13,0.9968711137771606,0.2307368516921997,2.5418658e-05,3.246453046798706,0.17431949079036713,6.191334247589111,1.0,0.2104690968990326,1.0238577127456665,0.15076486766338348,1.966376543045044
14,0.9977054595947266,0.283532977104187,2.2876793e-05,6.2082977294921875,0.17158302664756775,11.824119567871094,0.9991666674613953,0.20889678597450256,1.0642927885055542,0.15698757767677307,2.043045997619629
15,0.9972882866859436,0.2189696580171585,2.0589114e-05,3.383680582046509,0.171634703874588,6.450890064239502,0.9991666674613953,0.20870906114578247,0.9573222994804382,0.14864997565746307,1.8397833108901978
16,0.9970796704292297,0.22499454021453857,1.8530201e-05,2.8057711124420166,0.16837982833385468,5.353464603424072,1.0,0.20702649652957916,1.0467675924301147,0.15314513444900513,2.009561061859131
17,0.9977054595947266,0.21371296048164368,1.6677182e-05,3.6397221088409424,0.16947828233242035,6.936843395233154,1.0,0.2064341902732849,1.019026756286621,0.15141479671001434,1.956794261932373
18,0.9961410164833069,0.24358658492565155,1.5009464e-05,2.7840466499328613,0.16979171335697174,5.314047336578369,1.0,0.2077682912349701,1.001650094985962,0.15136079490184784,1.9239120483398438
19,0.9971839785575867,0.22908437252044678,1.3508517e-05,5.679999351501465,0.16735140979290009,10.81490707397461,0.9991666674613953,0.2084699124097824,1.1023173332214355,0.1592128872871399,2.1152498722076416
20,0.9968711137771606,0.2264411449432373,1.2157666e-05,3.288933277130127,0.16745322942733765,6.271617412567139,1.0,0.20565176010131836,1.0852800607681274,0.15805205702781677,2.082597255706787
21,0.9976011514663696,0.22530026733875275,1.0941899e-05,3.3738913536071777,0.16639114916324615,6.432923793792725,1.0,0.20738977193832397,1.0513054132461548,0.15672822296619415,2.018219232559204
22,0.9972882866859436,0.22390761971473694,9.847709e-06,2.9009385108947754,0.1678997278213501,5.534173965454102,1.0,0.20629042387008667,1.065536379814148,0.15821608901023865,2.0451481342315674
